unnamed:_,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,20051,2006,2007,2008,2009,2010,2011,20122,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
France Télévisions,nd,214,215,215,212,204,192,194,188,175,163,166,160,153,148,192,204,248,259,293,269,277,265.0,349.0,346.0,329.0,329.0,333.0,330.0,316.0,272.0,169.0,154.0,173.0,189.0
France,nd,109,113,111,110,100,88,95,91,78,77,83,75,76,74,69,67,56,53,61,52,52,53.0,59.0,53.0,49.0,47.0,47.0,50.0,52.0,62.0,60.0,55.0,59.0,51.0
France,nd,105,102,104,102,104,104,99,97,97,86,83,85,77,74,78,58,58,60,65,68,65,56.0,67.0,63.0,65.0,56.0,59.0,45.0,64.0,51.0,59.0,47.0,56.0,52.0
France,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44,78,134,141,165,148,155,155.0,149.0,154.0,143.0,132.0,139.0,146.0,122.0,96.0,18.0,18.0,21.0,51.0
France,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,2,1,5,1.0,,2.0,2.0,25.0,23.0,28.0,30.0,35.0,32.0,34.0,37.0,35.0
France Ô,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,nd,nd,nd,nd,nd,nd,nd,,74.0,74.0,70.0,69.0,65.0,61.0,48.0,28.0,,,,
Groupe TF,nd,100,104,101,104,106,105,103,103,103,103,101,96,85,75,269,337,365,367,356,351,353,353.0,470.0,428.0,422.0,470.0,467.0,473.0,448.0,453.0,473.0,523.0,519.0,513.0
TF,nd,100,104,101,104,106,105,103,103,103,103,101,96,85,75,78,60,61,58,54,50,49,55.0,55.0,51.0,55.0,62.0,73.0,72.0,68.0,106.0,75.0,71.0,77.0,73.0
TMC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,108,137,158,165,158,156,149,144.0,134.0,119.0,126.0,144.0,144.0,130.0,115.0,129.0,146.0,161.0,157.0,151.0
TFX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,83,140,146,144,144,145,155,144.0,145.0,139.0,132.0,131.0,120.0,135.0,135.0,108.0,126.0,149.0,146.0,143.0
TF Séries Films,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.0,136.0,119.0,109.0,133.0,130.0,136.0,130.0,110.0,126.0,142.0,139.0,146.0
Groupe M,nd,105,111,109,109,108,109,105,108,97,77,78,70,70,66,94,165,161,192,211,270,291,327.0,463.0,460.0,413.0,405.0,394.0,386.0,398.0,430.0,451.0,436.0,473.0,494.0
M,nd,105,111,109,109,108,109,105,108,97,77,78,70,70,66,68,64,53,64,57,49,40,43.0,40.0,55.0,35.0,35.0,35.0,38.0,35.0,55.0,49.0,42.0,59.0,65.0
W,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26,101,103,104,104,143,144,144.0,143.0,144.0,139.0,138.0,133.0,134.0,141.0,134.0,140.0,143.0,147.0,151.0
ter,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11.0,143.0,140.0,143.0,144.0,134.0,135.0,130.0,138.0,147.0,142.0,154.0,152.0
Gulli,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,5,24,50,78,107,129.0,137.0,121.0,96.0,88.0,92.0,79.0,92.0,103.0,115.0,109.0,113.0,126.0
Groupe Canal+,nd,183,189,182,178,172,164,162,216,260,243,229,218,211,224,245,306,454,551,522,486,546,461.0,492.0,480.0,473.0,451.0,442.0,432.0,421.0,487.0,475.0,416.0,424.0,351.0
Canal+,nd,183,189,182,178,172,164,162,216,260,243,229,218,211,224,235,225,294,306,280,254,274,273.0,279.0,279.0,277.0,256.0,246.0,246.0,245.0,311.0,273.0,225.0,252.0,200.0
C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,81,159,167,165,163,139,115.0,145.0,146.0,144.0,143.0,143.0,134.0,116.0,121.0,146.0,146.0,116.0,101.0
CStar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,78,77,69,133,73.0,68.0,55.0,52.0,52.0,53.0,52.0,60.0,55.0,56.0,45.0,56.0,50.0
NRJ Group,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,0,74,167,169,153,139,137.0,146.0,140.0,254.0,260.0,251.0,203.0,189.0,173.0,173.0,126.0,118.0,117.0
NRJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,0,74,167,169,153,139,135.0,103.0,84.0,115.0,116.0,107.0,92.0,85.0,70.0,70.0,55.0,51.0,50.0
Chérie,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.0,43.0,56.0,139.0,144.0,144.0,111.0,104.0,103.0,103.0,71.0,67.0,67.0
Altice Media,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,130.0,168.0,164.0,67.0,54.0,54.0,40.0,1.0,0.0,0.0,0.0,0.0
RMC Découverte,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,1.0,1.0,,,,,,,,,,
RMC Story,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,129.0,167.0,164.0,67.0,54.0,54.0,40.0,1.0,,,,
autres chaînes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arte,-,0,34,109,109,118,129,115,127,141,132,145,160,161,157,157,172,149,166,168,204,189,200.0,201.0,200.0,197.0,193.0,193.0,190.0,191.0,189.0,189.0,184.0,178.0,179.0
LCP-AN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,3,1,0,0,0,0,,14.0,27.0,18.0,14.0,14.0,12.0,,4.0,10.0,7.0,1.0,1.0
La Chaîne L'Equipe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,5.0,11.0,10.0,7.0,3.0,,5.0,24.0,42.0,43.0,34.0,56.0
total,nd,602,653,716,712,708,699,679,742,776,718,719,704,680,670,962,1187,1452,1702,1719,1733,1795,1743.0,2270.0,2260.0,2280.0,2196.0,2151.0,2080.0,2008.0,2033.0,1982.0,1889.0,1920.0,1900.0
sous-total chaînes nationales publiques,nd,214,249,324,321,322,321,309,315,316,295,311,320,314,305,351,379,398,425,461,473,466,465.0,564.0,573.0,544.0,536.0,540.0,532.0,507.0,465.0,368.0,345.0,352.0,369.0
sous-total chaînes nationales privées gratuites,nd,205,215,210,213,214,214,208,211,200,180,179,166,155,141,376,583,760,971,978,1006,1055,1005.0,1427.0,1408.0,1459.0,1404.0,1365.0,1302.0,1256.0,1257.0,1341.0,1319.0,1316.0,1331.0
sous-total chaînes nationales payantes,nd,183,189,182,178,172,164,162,216,260,243,229,218,211,224,235,225,294,306,280,254,274,273.0,279.0,279.0,277.0,256.0,246.0,246.0,245.0,311.0,273.0,225.0,252.0,200.0