unnamed:_0,tf1,france_2,france_3,canal+,la_5,france_5,m6,arte,c8,w9,tmc,tfx,nrj12,france_4,bfmtv,cnews,cstar,gulli,france_ô,tf1_séries_films,l'equipe,6ter,rmc_story,rmc_découverte,chérie_25,lci,franceinfo
1989,41.0,23.4,10.3,4.4,13,-,6.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1990,41.9,22.1,11.0,4.3,11.7,-,7.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1991,42.1,21.3,11.3,4.6,10.9,-,8.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1992,41.0,24.0,13.6,5.0,ns,-,10.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1993,41.0,24.7,14.6,4.9,-,-,11.2,0.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1994,39.5,25.0,15.7,4.6,-,-,11.4,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1995,37.3,23.8,17.6,4.4,-,1.3,11.5,1.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1996,35.4,24.2,17.7,4.5,-,1.6,11.9,1.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1997,35.0,23.7,17.1,4.5,-,1.8,12.7,1.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1998,35.3,22.5,17.0,4.6,-,1.9,12.9,1.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1999,35.1,22.3,16.3,4.5,-,1.9,13.6,1.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000,33.4,22.1,16.8,4.1,-,1.8,12.7,1.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2001,32.7,21.1,17.1,3.6,-,1.9,13.5,1.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2002,32.7,20.8,16.4,3.5,-,2.3,13.2,1.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2003,31.5,20.5,16.1,3.7,-,2.9,12.6,1.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2004,31.8,20.5,15.2,3.8,-,3,12.5,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2005,32.3,19.8,14.7,3.6,-,3.1,12.6,1.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2006,31.6,19.2,14.7,3.4,-,3.1,12.5,1.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2007,30.7,18.1,14.1,3.4,-,3.3,11.5,1.8,0.2,0.9,1.2,0.6,0.4,0.4,0.2,0.3,0.4,0.8,-,-,-,-,-,-,-,-,-
2008,27.2,17.5,13.3,3.3,-,3,11.0,1.7,0.7,1.8,2.1,1,1,0.9,0.4,0.3,0.5,1.5,-,-,-,-,-,-,-,-,-
2009,26.1,16.7,11.8,3.1,-,3.1,10.8,1.7,1.4,2.5,2.6,1.4,1.5,1.1,0.7,0.5,0.7,1.8,-,-,-,-,-,-,-,-,-
2010,24.5,16.1,10.7,3.1,-,3.2,10.4,1.6,2,3,3.3,1.6,1.9,1.6,0.9,0.7,1,2.2,nd,-,-,-,-,-,-,-,-
2011,23.7,14.9,9.7,3.1,-,3.3,10.8,1.5,2.3,3.4,3.5,1.9,2.3,2,1.4,0.8,1.2,2.1,nd,-,-,-,-,-,-,-,-
2012,22.7,14.9,9.7,2.9,-,3.5,11.2,1.8,2.3,3.2,3.6,2.1,2.4,2.1,1.8,0.8,1.2,1.9,nd,-,-,-,-,-,-,-,-
2013,22.8,14.0,9.5,2.8,-,3.3,10.6,2,3.2,2.9,3.4,2.1,2.2,1.8,1.9,0.8,1.3,1.7,nd,0.6,0.2,0.5,0.3,0.5,0.2,-,-
2014,22.9,14.1,9.4,2.6,-,3.2,10.1,2,3.3,2.6,3.1,1.8,1.9,1.6,2,0.9,1.2,1.8,0.5,0.9,0.4,0.7,0.5,1,0.3,-,-
2015,21.4,14.3,9.2,2.6,-,3.4,9.9,2.2,3.4,2.6,3.1,2,1.8,1.7,2.2,1,1.2,1.6,0.6,1.2,0.6,1.1,0.6,1.3,0.7,-,-
2016,20.4,13.4,9.1,1.7,-,3.4,10.2,2.3,3.4,2.5,3,1.9,1.7,1.9,2.3,0.9,1.2,1.6,0.8,1.8,0.9,1.4,0.8,1.8,1.1,0.3,nd
2017,20.0,13.0,9.1,1.2,-,3.6,9.5,2.2,3.3,2.6,3.2,2,1.6,1.8,2.7,0.6,1.2,1.6,0.6,1.9,1.1,1.7,1.2,2.1,1.1,0.6,0.3
2018,20.2,13.5,9.4,1.2,-,3.5,9.1,2.4,3,2.6,3,1.9,1.5,1.6,2.6,0.7,1.1,1.7,nd,1.8,1.2,1.6,1.4,2.2,1.1,0.7,0.4
2019,19.5,13.9,9.3,1.3,-,3.6,8.9,2.6,2.9,2.5,3.1,1.8,1.5,1.6,2.3,0.8,1.2,1.4,nd,1.8,1.4,1.7,1.3,2.3,1.1,1,0.5
2020,19.2,14.1,9.4,1.2,-,3.5,9.0,2.9,2.6,2.6,3,1.6,1.3,1.2,2.9,1.4,1.1,1.3,nd,1.8,1.3,1.7,1.5,2.3,1.1,1.2,0.7
2021,19.7,14.7,9.4,1.1,-,3.3,9.1,2.9,2.6,2.5,3,1.5,1.2,0.8,2.9,2,1.1,1.2,nd,1.9,1.5,1.5,1.6,2,1.2,1.1,0.7
2022,18.7,14.8,9.4,1.2,-,3.6,8.4,2.9,2.8,2.3,3,1.5,1.1,nd,3.3,2.1,1.1,1.2,nd,1.7,1.5,1.6,1.9,1.9,1.3,1.7,0.9
2023,18.6,15.3,9.0,1.2,-,3.5,8.1,2.9,3.1,2.3,3.1,1.5,1,nd,3,2.3,1.1,1,nd,1.7,1.6,1.6,1.9,1.7,1.2,2,0.8
2024,18.7,15.8,8.9,1.3,-,3.5,7.8,3,3,2.2,2.9,1.7,0.9,nd,2.9,2.9,1,1.1,nd,1.8,1.4,1.7,1.8,1.8,1.3,1.7,0.8
